Chemical Name;ChEBI;Human Metabolome Database;KEGG;LipidMAPS;;
indolelactate;CHEBI:17282;No result;No result;No result;;
uridine_5'-monophosphate;No result;No result;No result;No result;;
ribulose;CHEBI:16880;No result;No result;No result;;
adenosine_5'-triphosphate;No result;No result;No result;No result;;
histidine;CHEBI:15971;HMDB0000177;C00135;No result;;
N-acetylthreonine;No result;No result;No result;No result;;
glucose;No result;No result;No result;No result;;
3-(4-hydroxyphenyl)lactate;No result;No result;No result;No result;;
betaine;CHEBI:17750;HMDB0000043;C00719;No result;;
adenine;CHEBI:16708;HMDB0000034;C00147;No result;;
2-aminoadipate;CHEBI:84981;No result;No result;No result;;
arginine;CHEBI:32682;HMDB0062762;No result;No result;;
gamma-tocopherol;No result;No result;No result;No result;;
spermidine;CHEBI:57834;No result;No result;No result;;
nicotinamide_ribonucleotide;No result;No result;No result;No result;;
lidocaine;No result;No result;No result;No result;;
succinate;CHEBI:30031;undefined;No result;No result;;
sorbitol;No result;No result;No result;No result;;
cytidine_5'-diphosphocholine;No result;No result;No result;No result;;
methyl-alpha-glucopyranoside;No result;No result;No result;No result;;
stearoyl_sphingomyelin;No result;No result;No result;No result;;
putrescine;CHEBI:326268;No result;No result;No result;;
2-hydroxyhippurate;No result;No result;No result;No result;;
docosatrienoate;No result;No result;No result;No result;;
kynurenine;CHEBI:16946;HMDB0000684;C00328;No result;;
N-acetylglucosamine;CHEBI:17029;HMDB0000803;C03878;No result;;
stearate;CHEBI:25629;No result;No result;No result;;
N-acetylmethionine;No result;HMDB0011745;No result;No result;;
guanine;CHEBI:16235;HMDB0000132;C00242;No result;;
sphingosine;CHEBI:57756;HMDB0062807;No result;No result;;
quinate;No result;No result;No result;No result;;
deoxycarnitine;No result;No result;No result;No result;;
proline;No result;No result;No result;No result;;
alanine;CHEBI:16977;HMDB0000161;C00041;No result;;
cysteine;CHEBI:17561;HMDB0000574;C00097;No result;;
gluconate;No result;No result;No result;No result;;
choline;CHEBI:15354;HMDB0000097;C00114;No result;;
acetylcarnitine;CHEBI:73024;HMDB0000201;No result;No result;;
1-linoleoylglycerophosphocholine;No result;No result;No result;No result;;
propionylcarnitine;No result;No result;No result;No result;;
saccharopine;CHEBI:57951;No result;No result;No result;;
palmitate;CHEBI:7896;No result;No result;No result;;
adenosine_5'-monophosphate;No result;No result;No result;No result;;
alpha-ketoglutarate;No result;No result;No result;No result;;
N-acetylalanine;No result;No result;No result;No result;;
glycerophosphoethanolamine;No result;No result;No result;No result;;
valine;CHEBI:16414;HMDB0000883;C00183;No result;;
malate;No result;No result;No result;No result;;
hypoxanthine;CHEBI:17368;HMDB0000157;C00262;No result;;
N-ethylglycinexylidide;No result;No result;No result;No result;;
gamma-aminobutyrate;No result;No result;No result;No result;;
xanthine;No result;No result;No result;No result;;
4-hydroxybutyrate;CHEBI:16724;No result;No result;No result;;
carnitine;No result;No result;No result;No result;;
myristate;CHEBI:30807;No result;No result;No result;;
1-palmitoylglycerophosphocholine;No result;HMDB0062541;C04102;No result;;
fumarate;CHEBI:29806;No result;No result;No result;;
pantothenate;No result;No result;No result;No result;;
hypotaurine;CHEBI:16668;HMDB0000965;C00519;No result;;
citrulline;No result;No result;No result;No result;;
N6-acetyllysine;No result;No result;No result;No result;;
nicotinamide_riboside;No result;No result;No result;No result;;
ethanolamine;CHEBI:57603;HMDB0062693;No result;No result;;
serine;CHEBI:17115;HMDB0000187;C00065;No result;;
threonine;CHEBI:16857;HMDB0000167;C00188;No result;;
fucose;No result;No result;No result;No result;;
glycine;CHEBI:15428;HMDB0000123;C00037;No result;;
sarcosine;CHEBI:15611;HMDB0000271;C00213;No result;;
N-acetyltryptophan;CHEBI:74640;HMDB0013713;No result;No result;;
asparagine;CHEBI:17196;HMDB0000168;C00152;No result;;
1-arachidonylglycerol;No result;No result;No result;No result;;
ornithine;CHEBI:16176;HMDB0003374;C00515;No result;;
butyrylcarnitine;No result;No result;No result;No result;;
5;6-dihydrouracil;No result;No result;No result;;
1-oleoylglycerophosphocholine;No result;No result;No result;No result;;
glycerate;CHEBI:16659;No result;No result;No result;;
1-stearoylglycerol;No result;No result;No result;No result;;
isoleucine;No result;No result;No result;No result;;
N1-methyladenosine;No result;No result;No result;No result;;
3-hydroxybutyrate;CHEBI:37054;No result;No result;No result;;
5-oxoproline;No result;No result;No result;No result;;
tryptophan;CHEBI:16828;HMDB0000929;C00078;No result;;
ribitol;CHEBI:15963;HMDB0000508;C00474;No result;;
methionine;CHEBI:16643;HMDB0000696;C00073;No result;;
nonadecanoate;CHEBI:78796;No result;No result;No result;;
glutarate;CHEBI:30921;No result;No result;No result;;
glutamate;CHEBI:15966;HMDB0003339;C00217;No result;;
lysine;CHEBI:32551;HMDB0062809;No result;No result;;
docosapentaenoate;CHEBI:77224;No result;No result;No result;;
dimethylarginine;No result;No result;No result;No result;;
eicosapentaenoate;CHEBI:58562;No result;No result;No result;;
riboflavin;CHEBI:57986;No result;No result;No result;;
linoleate;CHEBI:30245;No result;No result;No result;;
3-dehydrocarnitine;CHEBI:57885;HMDB0012154;No result;No result;;
adrenate;CHEBI:77225;No result;No result;No result;;
tyrosine;CHEBI:17895;HMDB0000158;C00082;No result;;
glycerol;CHEBI:15850;HMDB0000131;undefined;No result;;
palmitoleate;CHEBI:32372;No result;No result;No result;;
cystine;No result;No result;No result;No result;;
guanosine_5'-_monophosphate;No result;No result;No result;No result;;
phenylalanine;CHEBI:17295;HMDB0000159;C00079;No result;;
dihomo-linoleate;No result;No result;No result;No result;;
linolenate_[alpha_or_gamma_(18:3n3_or_6)];undefined;undefined;undefined;undefined;;
leucine;CHEBI:15603;HMDB0000687;C00123;No result;;
uracil;No result;No result;No result;No result;;
docosapentaenoate;CHEBI:77224;No result;No result;No result;;
docosadienoate;No result;No result;No result;No result;;
docosahexaenoate;CHEBI:77016;No result;No result;No result;;
arachidonate;CHEBI:32395;No result;No result;No result;;
xanthosine;CHEBI:18107;HMDB0000299;C01762;No result;;
dihomo-linolenate;No result;No result;No result;No result;;
cis-vaccenate;No result;No result;No result;No result;;
oleate;CHEBI:30823;No result;No result;No result;;
